ID_Incident,WaktuKey,LokasiKey,JenisSeranganKey,TimResponKey,DurasiRespon,JumlahDataTerenam,StatusPenanganan
1,519,3,5,9,352,2696,selesai
2,136,1,1,14,357,2821,selesai
3,334,2,6,19,10,5615,pending
4,381,1,1,2,55,1490,selesai
5,999,3,1,20,13,6615,selesai
6,101,3,6,2,329,827,selesai
7,553,3,6,12,248,3823,pending
8,490,3,5,8,39,9795,selesai
9,648,1,2,7,140,4099,selesai
10,878,2,6,16,395,9206,pending
11,513,3,4,8,328,5339,selesai
12,688,1,1,1,465,368,pending
13,928,2,4,4,47,160,selesai
14,1052,2,4,18,473,7633,selesai
15,772,1,5,12,423,7986,selesai
16,595,3,6,14,107,3322,selesai
17,713,2,3,2,132,6399,selesai
18,505,3,2,19,459,4344,selesai
19,347,1,5,10,66,3708,selesai
20,499,2,3,2,381,3765,selesai
21,488,1,4,9,266,7998,selesai
22,11,2,3,16,273,6863,selesai
23,86,1,2,4,94,3551,selesai
24,335,3,4,1,475,9553,selesai
25,936,3,1,10,491,9858,selesai
26,1024,2,1,15,492,247,pending
27,96,2,2,5,357,2145,selesai
28,185,3,1,13,24,3411,selesai
29,398,3,5,5,132,7345,selesai
30,475,3,4,4,459,7786,selesai
31,623,1,5,14,19,9782,pending
32,883,3,2,17,290,9982,selesai
33,877,1,3,13,33,2547,selesai
34,563,2,4,7,182,3229,selesai
35,855,2,1,20,399,5043,selesai
36,788,1,4,11,467,6702,selesai
37,592,3,4,16,360,2436,selesai
38,476,3,2,8,450,4022,selesai
39,48,1,5,15,87,9131,selesai
40,702,2,5,10,114,6611,selesai
41,946,3,6,16,483,4933,selesai
42,287,3,4,5,412,2910,selesai
43,717,2,6,6,59,3153,selesai
44,757,3,4,19,72,939,selesai
45,494,1,1,6,12,1770,pending
46,622,3,3,16,172,7165,selesai
47,88,3,6,18,269,418,selesai
48,254,2,2,18,292,9162,pending
49,854,3,5,16,302,4824,selesai
50,22,2,5,12,163,1276,selesai
51,340,3,3,13,10,1573,pending
52,215,2,1,17,360,2484,pending
53,639,1,3,1,80,2565,selesai
54,137,1,3,4,50,7452,selesai
55,229,1,5,16,94,5290,selesai
56,250,3,2,6,358,5280,selesai
57,132,1,6,9,87,2372,selesai
58,555,1,1,12,448,1480,selesai
59,249,2,4,18,271,5264,selesai
60,334,2,3,16,375,5353,pending
61,160,3,5,3,228,732,selesai
62,326,1,3,4,385,9653,selesai
63,1033,3,3,11,71,4782,pending
64,612,1,5,4,155,5455,selesai
65,501,2,1,7,407,649,selesai
66,687,2,3,14,94,6039,selesai
67,847,3,5,6,10,6995,selesai
68,1023,2,5,1,371,3225,selesai
69,389,3,4,7,341,446,selesai
70,333,3,1,7,235,5299,pending
71,180,2,5,4,164,2692,selesai
72,135,2,4,8,73,8002,selesai
73,69,1,2,3,477,2373,selesai
74,914,3,3,19,219,8662,selesai
75,771,1,5,7,281,357,pending
76,553,2,2,4,481,21,selesai
77,605,1,4,6,258,8607,selesai
78,376,2,4,13,495,9255,selesai
79,941,2,5,11,107,7431,selesai
80,737,2,3,8,92,6683,selesai
81,185,2,1,13,411,6122,pending
82,558,3,6,6,436,5097,selesai
83,969,2,6,6,394,1436,selesai
84,186,2,2,7,456,5791,selesai
85,501,3,4,3,263,1687,selesai
86,273,3,5,13,202,4344,selesai
87,374,2,2,5,358,7474,selesai
88,344,2,5,17,259,8349,pending
89,885,3,6,12,434,9027,selesai
90,262,3,2,6,300,5072,selesai
91,871,2,4,5,387,546,selesai
92,518,2,2,7,165,7269,selesai
93,786,1,3,17,159,639,selesai
94,225,1,6,9,355,414,pending
95,324,1,5,2,215,6061,pending
96,290,2,3,7,31,8116,selesai
97,688,2,6,7,411,4406,selesai
98,758,1,4,12,293,7386,selesai
99,1050,3,5,14,339,7706,selesai
